iter	RMSE
0	11.67740196
1	11.63079937
2	11.58838065
3	11.54784874
4	11.51120264
5	11.47795522
6	11.44699267
7	11.41896753
8	11.39293802
9	11.37005639
10	11.34920263
11	11.32997311
12	11.31178868
13	11.29564659
14	11.28025648
15	11.26622595
16	11.25436039
17	11.24133769
18	11.23058243
19	11.22024268
20	11.21038998
21	11.20150431
22	11.19355198
23	11.18619174
24	11.17893098
25	11.17320248
26	11.16820073
27	11.16158952
28	11.15561736
29	11.1495725
30	11.14414002
31	11.13954635
32	11.13488247
33	11.13023904
34	11.12630408
35	11.12286162
36	11.11869601
37	11.11522746
38	11.11210814
39	11.10905815
40	11.10614781
41	11.10351222
42	11.10102441
43	11.09938688
44	11.09723436
45	11.09494002
46	11.09263071
47	11.09047429
48	11.08815139
49	11.08640818
50	11.08467113
51	11.08315052
52	11.08092076
53	11.0794446
54	11.077665
55	11.07583425
56	11.07437381
57	11.0726682
58	11.0716034
59	11.07028282
60	11.06935144
61	11.06787595
62	11.06685535
63	11.06553709
64	11.06450195
65	11.0637183
66	11.06294849
67	11.06196774
68	11.06091372
69	11.06013133
70	11.05907746
71	11.05819642
72	11.05745996
73	11.05643223
74	11.05545974
75	11.05453016
76	11.05384969
77	11.05262324
78	11.05199292
79	11.05076533
80	11.04979277
81	11.04929318
82	11.04839509
83	11.04799038
84	11.047359
85	11.04675513
86	11.04601765
87	11.04544823
88	11.04471107
89	11.04399924
90	11.04333742
91	11.04238583
92	11.04194791
93	11.04141772
94	11.04058228
95	11.03985955
96	11.03952819
97	11.03887624
98	11.03830979
99	11.0379413
100	11.03742491
101	11.03687518
102	11.03631826
103	11.03583218
104	11.0352602
105	11.03483998
106	11.03397896
107	11.03357441
108	11.0330487
109	11.03239694
110	11.03195124
111	11.03143979
112	11.03088756
113	11.03010746
114	11.02956656
115	11.02892395
116	11.02858166
117	11.02829102
118	11.02762934
119	11.02719925
120	11.02697253
121	11.02652974
122	11.02614586
123	11.02579077
124	11.02534035
125	11.02472144
126	11.02411036
127	11.0236202
128	11.02332213
129	11.02301869
130	11.02267532
131	11.02228944
132	11.02188654
133	11.02152773
134	11.02112596
135	11.02079739
136	11.02047322
137	11.02021075
138	11.01981849
139	11.01948456
140	11.01916413
141	11.01868529
142	11.01832052
143	11.01787331
144	11.01735876
145	11.01698678
146	11.01624244
147	11.01594957
148	11.01556484
149	11.01522737
150	11.01488278
151	11.01447614
152	11.01412336
153	11.01380164
154	11.01356378
155	11.01324929
156	11.01293328
