iter	RMSE
157	11.01265337
158	11.01235332
159	11.01214666
160	11.01181119
161	11.01140838
162	11.01107027
163	11.01066394
164	11.01033736
165	11.00997682
166	11.00950737
167	11.00910405
168	11.00877833
169	11.0084472
170	11.00819387
171	11.00788129
172	11.007423
173	11.00715098
174	11.00667785
175	11.00630108
176	11.00609191
177	11.00559933
178	11.00536321
179	11.00504105
180	11.00445064
181	11.00416895
182	11.00376061
183	11.00342243
184	11.00322095
185	11.00286174
186	11.00254134
187	11.00216271
188	11.00187133
189	11.00154076
190	11.00116161
191	11.00092313
192	11.00046389
193	10.99984812
194	10.99963576
195	10.99934697
196	10.99895532
197	10.99869569
198	10.99818871
199	10.99800786
200	10.9975393
201	10.99728437
202	10.99703785
203	10.9967254
204	10.99626055
205	10.99567481
206	10.995369
207	10.9951101
208	10.99473402
209	10.99426499
210	10.99379735
211	10.99353006
212	10.99323888
213	10.9929932
214	10.99269426
215	10.99206761
216	10.99177115
217	10.99149966
218	10.99108113
219	10.99074315
220	10.99051183
221	10.99011068
222	10.98965267
223	10.98941498
224	10.98923666
225	10.98894151
226	10.98842626
227	10.98814056
228	10.98785098
229	10.98743889
230	10.98718209
231	10.9869981
232	10.9866052
233	10.98615211
234	10.98589546
235	10.98556768
236	10.98497931
237	10.98469312
238	10.98417263
239	10.98394076
240	10.98355992
241	10.98310909
242	10.98250044
243	10.98230609
244	10.98206501
245	10.98164979
246	10.98121034
247	10.98050319
248	10.98018541
249	10.97999631
250	10.9796851
251	10.97932785
252	10.97890791
253	10.97841912
254	10.97805332
255	10.97735056
256	10.97713312
257	10.976757
258	10.97642565
259	10.97582463
260	10.97542512
261	10.9749906
262	10.97458308
263	10.97401228
264	10.9735961
265	10.97290696
266	10.97260176
267	10.97205281
268	10.97147853
269	10.97101064
270	10.97047529
271	10.96996225
272	10.9695154
273	10.96914526
274	10.96879567
275	10.96841473
276	10.96810527
277	10.96746818
278	10.96679408
279	10.9662292
280	10.96570923
281	10.96526292
282	10.96489595
283	10.96445594
284	10.96386849
285	10.96333429
286	10.96293436
287	10.96226683
288	10.96197873
289	10.96148771
290	10.9609902
291	10.96060072
292	10.96023831
293	10.9598124
294	10.9592994
295	10.95881741
296	10.9584563
297	10.95803618
298	10.95762208
299	10.95727171
300	10.9568797
301	10.95649901
302	10.95606197
303	10.95551037
304	10.95526084
305	10.9547535
306	10.95449888
307	10.95411854
308	10.95381571
309	10.9533035
310	10.9529249
311	10.95258275
312	10.95212827
313	10.95168704
314	10.95140542
315	10.95102796
316	10.95040806
317	10.94997979
318	10.94961903
319	10.94930796
320	10.94903121
321	10.94863953
322	10.94816758
323	10.94780829
324	10.94749461
325	10.94706007
326	10.94658573
327	10.94617422
328	10.94567746
329	10.94533826
330	10.94494535
331	10.94443851
332	10.94414209
333	10.94377663
334	10.94342396
335	10.94311558
336	10.94279049
337	10.94249038
338	10.94202444
339	10.94166125
340	10.94131352
341	10.94095296
342	10.94060468
343	10.94031599
344	10.93985118
345	10.93941498
346	10.93901415
347	10.93861531
348	10.93812549
349	10.93790565
350	10.93766072
351	10.9373617
352	10.93684617
353	10.93652069
354	10.93614431
355	10.935817
356	10.93541116
357	10.93514615
358	10.93480849
359	10.93453018
360	10.93410185
361	10.93388993
362	10.93349021
363	10.93303018
364	10.93269513
365	10.93247353
366	10.93212858
367	10.93176284
368	10.93144358
369	10.93112226
370	10.93076
371	10.93027434
372	10.92978984
373	10.92963264
374	10.92938221
375	10.92892226
376	10.92861543
377	10.92814207
378	10.92780169
379	10.92731233
380	10.92672854
381	10.92633871
382	10.9261609
383	10.92576936
384	10.92540713
385	10.92499692
386	10.92472471
387	10.9243456
388	10.92413792
389	10.92379624
390	10.92343659
391	10.92321972
392	10.92291258
393	10.92264984
394	10.92214773
395	10.9216783
396	10.9215246
397	10.92122391
398	10.92094007
399	10.92073189
400	10.92039485
401	10.91994392
402	10.91949874
403	10.91930564
404	10.91891636
405	10.91852635
406	10.91826475
407	10.91786461
408	10.91751975
409	10.9173016
410	10.91711413
411	10.91687068
412	10.91642852
413	10.91607468
414	10.9158317
415	10.91551499
416	10.91508476
417	10.91477762
418	10.9145014
419	10.91412885
420	10.91377572
421	10.91356257
422	10.91329862
423	10.91303747
424	10.91272103
425	10.91242571
426	10.91214378
427	10.91187182
428	10.9115862
429	10.9113283
430	10.91090168
431	10.91073057
432	10.91032207
433	10.90997745
434	10.90971798
435	10.90940397
436	10.90907494
437	10.90880659
438	10.9083608
439	10.90794123
440	10.90755668
441	10.90721756
442	10.90705303
443	10.90664147
444	10.90639922
445	10.90623178
446	10.90604196
447	10.90568297
448	10.9054278
449	10.90511986
450	10.9047327
451	10.90429865
452	10.90391359
453	10.90355556
454	10.90318498
455	10.90279597
456	10.90255482
457	10.90224657
458	10.90190345
459	10.90150887
460	10.90115035
461	10.90098937
462	10.90065365
463	10.90028381
464	10.90001769
465	10.89959286
466	10.89932255
467	10.89906351
468	10.89881488
469	10.8984629
470	10.8981586
471	10.89794575
472	10.89754011
473	10.8971929
474	10.89686004
475	10.89663187
476	10.89636581
477	10.89602461
478	10.89576049
479	10.89535741
480	10.89506077
481	10.89486152
482	10.8945949
483	10.89434175
484	10.89415916
485	10.89378669
486	10.89345307
487	10.89304262
488	10.89273248
489	10.89240961
490	10.89218341
491	10.89189531
492	10.89169029
493	10.89127295
494	10.89095977
495	10.89070313
496	10.89037757
497	10.89022553
498	10.8899436
499	10.88963743
500	10.88934043
501	10.88887565
502	10.88856799
503	10.88829709
504	10.88801756
505	10.88776653
506	10.88742926
507	10.88703316
508	10.88660201
509	10.8862933
510	10.88599996
511	10.88576865
512	10.88538427
513	10.88511406
514	10.88481665
515	10.88442903
516	10.88411569
517	10.88384928
518	10.88353773
519	10.88333337
520	10.88305498
521	10.88272332
522	10.88240597
523	10.8820655
524	10.88177203
525	10.88150771
526	10.88118708
527	10.88076622
528	10.88045339
529	10.88018313
530	10.8799013
531	10.87951011
532	10.87924071
533	10.87896726
534	10.87870981
535	10.87837364
536	10.87808225
537	10.87789137
538	10.87764932
539	10.87734639
540	10.87715073
541	10.87701001
542	10.8766124
543	10.87635716
544	10.87609574
545	10.8758885
546	10.87566841
547	10.87534268
548	10.87516685
549	10.87475874
550	10.87439786
551	10.87415486
552	10.87400653
553	10.87363144
554	10.87315149
555	10.87296983
556	10.87264505
557	10.87229424
558	10.87206241
559	10.87162944
560	10.87129578
561	10.87099775
562	10.87052959
563	10.87008919
564	10.86974341
565	10.86944099
566	10.86906169
567	10.86880101
568	10.86856116
569	10.8683012
570	10.86807467
571	10.86773208
572	10.8672922
573	10.86704484
574	10.86678041
575	10.8664895
576	10.86612175
577	10.86586915
578	10.86561797
579	10.86522654
580	10.86491866
581	10.86461124
582	10.86432181
583	10.86401434
584	10.86364872
585	10.86346254
586	10.8632534
587	10.86305334
588	10.86270062
589	10.86244527
590	10.86208727
591	10.86174319
592	10.86150923
593	10.86126058
594	10.86091729
595	10.86046712
596	10.86011969
597	10.85977353
598	10.85952062
599	10.85931246
600	10.85900335
601	10.85859921
602	10.85837837
603	10.85804497
604	10.85765615
605	10.8574208
606	10.85711599
607	10.85674157
608	10.85640561
609	10.85610958
610	10.85583244
611	10.85571854
612	10.85546546
613	10.85517942
614	10.85490048
615	10.85464545
616	10.85442598
617	10.85415524
618	10.85378693
619	10.85355652
620	10.85325677
621	10.85306809
622	10.85269043
623	10.85246145
624	10.85226529
625	10.85205576
626	10.85166352
627	10.85148836
628	10.85115752
629	10.85092153
630	10.85061664
631	10.85029979
632	10.85002673
633	10.84989365
634	10.84964678
635	10.84928083
636	10.84894496
637	10.84867767
638	10.84834931
639	10.84804241
640	10.84770918
641	10.84754697
642	10.8472843
643	10.84707792
644	10.8468356
645	10.84665643
646	10.8464277
647	10.84609892
648	10.84577263
649	10.84545712
650	10.84511215
651	10.84489494
652	10.84467752
653	10.84428801
654	10.84416743
655	10.84385387
656	10.84363886
657	10.8433373
658	10.84316048
659	10.84286831
660	10.84263144
661	10.84225872
662	10.84204396
663	10.84186931
664	10.84161333
665	10.84137002
666	10.84109063
667	10.84086266
668	10.84061384
669	10.84024784
670	10.83997969
671	10.83985117
672	10.83953292
673	10.83934308
674	10.83911209
675	10.83883148
676	10.83851901
677	10.83836186
678	10.83818637
679	10.83807436
680	10.83768676
681	10.83745512
682	10.83724235
683	10.83703369
684	10.83672589
685	10.83654939
686	10.83619216
687	10.83588996
688	10.83559922
689	10.83542784
690	10.83520731
691	10.83490202
692	10.83456815
693	10.83421976
694	10.8339571
695	10.83367594
696	10.8335536
697	10.83328453
698	10.83295085
699	10.83273388
